CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
68,1,0.5255928,"Flagged due to: amount is 20.7x higher than customer's average transaction size, and high 24-hour transaction volume sum (53,562,000.00), and high historical average transaction size (2,419,415.57).","TRANS_AMOUNT_Z_SCORE (+2.5021), SUM_AMOUNT_24H (+0.8010), HIST_AVG_TRANS_AMOUNT (+0.3525)","SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4002), TRANS_NO × SUM_AMOUNT_24H (-0.3645), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3509)",Transfer,Within_bank,2019-11-16,Sat,11,1,50000000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,53562000.0,3,86333655.0,15,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.365798441234507
68,1,0.67506033,"Flagged due to: amount is 15.7x higher than customer's average transaction size, and high 24-hour transaction volume sum (91,642,000.00), and high historical average transaction size (2,419,415.57).","TRANS_AMOUNT_Z_SCORE (+2.4245), SUM_AMOUNT_24H (+0.8298), HIST_AVG_TRANS_AMOUNT (+0.3653)","SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4133), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3620), TRANS_NO × SUM_AMOUNT_24H (-0.2873)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,91642000.0,4,124413655.0,16,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.365798441234507
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 5), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 24-hour transaction volume sum (18,600,000.00).","TRANS_NO (+2.3562), HIST_TRANS_COUNT (+0.7749), SUM_AMOUNT_24H (+0.4817)","TRANS_NO × TRANS_LV2 (+0.4880), TRANS_NO × SUM_AMOUNT_24H (+0.4225), TRANS_NO × HIST_TRANS_COUNT (+0.3755)",Transfer,Within_bank,2019-09-03,Tue,12,5,18600000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,18600000.0,1,18600000.0,1,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (55,701,000.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.8793), SUM_AMOUNT_24H (+1.9829), HIST_TRANS_COUNT (+0.7974)","TRANS_NO × SUM_AMOUNT_24H (+1.1493), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.4047), TRANS_NO × TRANS_LV2 (+0.3830)",Transfer,Within_bank,2019-09-03,Tue,16,6,18294000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55701000.0,6,55701000.0,6,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (52,621,512.00), and high 24-hour transaction count (10 transfers), and unusual transaction sequence position (transaction number: 3).","SUM_AMOUNT_24H (+1.7203), COUNT_24H (+0.8656), TRANS_NO (+0.8558)","TRANS_NO × SUM_AMOUNT_24H (+0.6038), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4046), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3564)",Transfer,Within_bank,2019-09-04,Wed,13,3,8299000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52621512.0,10,71221512.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.5413289,"Flagged due to: high 24-hour transaction volume sum (58,920,000.00), and high 24-hour transaction count (14 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","SUM_AMOUNT_24H (+1.3372), COUNT_24H (+0.7896), HIST_TRANS_COUNT (+0.4456)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.2811), SUM_AMOUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.2625), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.2585)",Transfer,Within_bank,2019-09-19,Thu,9,2,6648000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,58920000.0,14,92633885.0,29,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (90,940,000.00), and high 24-hour transaction count (9 transfers).","TRANS_NO (+2.2101), SUM_AMOUNT_24H (+1.8964), COUNT_24H (+0.5921)","TRANS_NO × SUM_AMOUNT_24H (+0.9766), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3387), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3329)",Transfer,Within_bank,2019-10-02,Wed,16,4,13136000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,90940000.0,9,145371000.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.5210269,"Flagged due to: high 24-hour transaction volume sum (55,566,156.00), and unusual transaction sequence position (transaction number: 3), and high 24-hour transaction count (9 transfers).","SUM_AMOUNT_24H (+1.6465), TRANS_NO (+0.7905), COUNT_24H (+0.5630)","TRANS_NO × SUM_AMOUNT_24H (+0.6050), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.2697), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.1987)",Transfer,Within_bank,2019-10-03,Thu,11,3,10978956.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55566156.0,9,182729156.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (61,988,956.00), and high 24-hour transaction count (10 transfers).","TRANS_NO (+2.2042), SUM_AMOUNT_24H (+1.7531), COUNT_24H (+0.5701)","TRANS_NO × SUM_AMOUNT_24H (+0.9446), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3335), TRANS_NO × HIST_TRANS_COUNT (+0.3269)",Transfer,Within_bank,2019-10-03,Thu,14,4,6846000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,61988956.0,10,185975156.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 12), and high 24-hour transaction volume sum (51,651,430.00), and amount is 6.7x higher than customer's average transaction size.","TRANS_NO (+2.6922), SUM_AMOUNT_24H (+1.5957), TRANS_AMOUNT_Z_SCORE (+0.9913)","TRANS_NO × SUM_AMOUNT_24H (+1.1599), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4829), TRANS_NO × TRANS_LV2 (+0.4317)",Transfer,Within_bank,2019-10-17,Thu,20,12,29488980.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,51651430.0,6,94366430.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
