TRANSACTION_ID,CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_ID_Hash,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY,NEW_DEVICE_FLAG,IP_HOPPING_VELOCITY,PAGERANK_SCORE,IN_DEGREE_CENTRALITY,BUST_OUT_UTILIZATION,STRUCTURING_OVERPAYMENT_FLAG,AUTH_DOWNGRADE_RISK
1359882,0,1,0.8413833379745483,"Flagged due to: unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and transaction amount is 4.0x higher than historical average, and unusual combination of high transaction amount and long inactivity period (combined score: 43.09).","NEW_DEVICE_FLAG (+1.6691), TRANS_AMOUNT_Z_SCORE (+0.8524), DAYS_AMOUNT_COMBINED (+0.5260)","NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (+0.4709), HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED (+0.2824), TRANS_HOUR × NEW_DEVICE_FLAG (+0.1634)","TRANS_AMOUNT: 99,800,000.00 -> 70,614,446.64 (-29,185,553.36)",Transfer,Outside_bank,2019-09-26,Thu,9,1,99800000.0,456015,1eefbf4e4b665aac,Android,95.231.xx.xx (HCM),F,2019-09-16,1988-10-08,0,2019-09-17,BRANCH,0,SMART_OTP,Working,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,23214210.2125,24981900.0,10,9.375,1,0.0,LOGIN,0.0,0.0,0.0,-1.0631228169596971,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1318076,9,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 64.78), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and long inactivity period (65.7 days since last transaction).","DAYS_AMOUNT_COMBINED (+2.6369), NEW_DEVICE_FLAG (+1.8293), DAYS_SINCE_LAST_TRANS (+0.5631)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.4529), NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (+0.2954), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.2146)","TRANS_AMOUNT: 5,000,000.00 -> 888,171.20 (-4,111,828.80)",Transfer,Outside_bank,2019-12-05,Thu,16,1,5000000.0,779387,32fd628f2a00217c,Android,16.174.xx.xx (HN),M,2019-09-30,1982-04-15,0,2019-10-01,BRANCH,1,SMART_OTP,Working,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,4317108.59,1949162.6666666667,6,65.66666666666667,1,1553.0,LOGIN,0.0,28.0,0.0,-0.9328947891681147,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1316173,44,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 88.54), and transaction amount covers 25.0x monthly average balance, and long inactivity period (182.3 days since last transaction).","DAYS_AMOUNT_COMBINED (+2.5095), BALANCE_COVERAGE_RATIO (+0.7346), DAYS_SINCE_LAST_TRANS (+0.5877)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.8922), NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (-0.4224), HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED (+0.2744)","TRANS_AMOUNT: 23,900,000.00 -> 240,053.94 (-23,659,946.06)",Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,8e40262350fa0078,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709,0.0,1,0.7112214308695028,0.0,0.8744,0,0.0
941755,88,1,0.8896862864494324,"Flagged due to: transaction amount is 11.4x higher than historical average, and transaction amount is 13.6x higher than 30-day average transaction size, and unusual behavior in feature 'HIST_BIOMETRIC_RATIO' (value: 0.45).","TRANS_AMOUNT_Z_SCORE (+2.7257), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.2627), HIST_BIOMETRIC_RATIO (+0.5506)","TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2346), TRANS_HOUR × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2126), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.1682)","TRANS_AMOUNT: 50,000,000.00 -> 36,245,632.17 (-13,754,367.83)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,578168,d1c2a448db82b9e2,iOS,14.182.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,50000000.0,1,50000000.0,1,77545000.0,7,80773000.0,9,125973222.0,23,485665129.0,132,8844481.102,4369996.853994491,363,0.4583333333333333,7,165.0,LOGIN_FINGER,0.44549760921812276,211.0,0.03889746598194539,-1.441169318574772,0.0,1,0.7112214308695028,0.0,0.0,0,0.0
941810,88,1,0.7259393334388733,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.8x higher than 30-day average transaction size, and unusual behavior in feature 'HIST_BIOMETRIC_RATIO' (value: 0.47).","TRANS_AMOUNT_Z_SCORE (+2.4797), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0243), HIST_BIOMETRIC_RATIO (+0.5358)","TRANS_HOUR × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2019), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.1763), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.1682)","TRANS_AMOUNT: 37,439,000.00 -> 36,115,608.53 (-1,323,391.47)",Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,711016,d1c2a448db82b9e2,iOS,50.208.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,37439000.0,1,37439000.0,1,107223580.0,14,114711580.0,18,136814840.0,26,630521972.0,149,8844481.102,4369996.853994491,363,0.375,14,19.0,LOGIN_FINGER,0.4711934059425225,486.0,0.03889746598194539,-1.441169318574772,0.0,1,0.7112214308695028,0.0,0.0,0,0.0
941739,88,1,0.7049896121025085,"Flagged due to: transaction amount is 9.6x higher than historical average, and transaction amount is 6.8x higher than 30-day average transaction size, and unusual behavior in feature 'HIST_BIOMETRIC_RATIO' (value: 0.48).","TRANS_AMOUNT_Z_SCORE (+2.5262), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0243), HIST_BIOMETRIC_RATIO (+0.5443)","TRANS_HOUR × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2019), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2005), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.1682)","TRANS_AMOUNT: 42,000,000.00 -> 36,245,676.04 (-5,754,323.96)",Transfer,Outside_bank,2019-11-27,Wed,8,6,42000000.0,581381,d1c2a448db82b9e2,iOS,10.16.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,42000000.0,1,42000000.0,1,45100000.0,4,45100000.0,4,57883900.0,6,470143187.0,76,8844481.102,4369996.853994491,363,0.5416666666666666,4,644.0,LOGIN,0.47791797353441684,634.0,0.03889746598194539,-1.441169318574772,0.0,1,0.7112214308695028,0.0,0.0,0,0.0
1392589,107,1,1.0,"Flagged due to: transaction amount covers 174.3x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 41.25).","BALANCE_COVERAGE_RATIO (+2.2235), NEW_DEVICE_FLAG (+1.6011), DAYS_AMOUNT_COMBINED (+0.5350)","NEW_DEVICE_FLAG × BALANCE_COVERAGE_RATIO (+0.4004), HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED (+0.2744), BALANCE_COVERAGE_RATIO × VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2072)","TRANS_AMOUNT: 20,100,000.00 -> 4,117,680.64 (-15,982,319.36)",Transfer,Outside_bank,2019-08-16,Fri,15,1,20100000.0,518858,b3068da5612a86f5,iOS,115.102.xx.xx (HP),M,2019-08-05,1999-07-24,0,2019-08-06,BRANCH,0,SMART_OTP,Unemployed,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,115295.11000000002,10113000.0,2,10.625,1,0.0,LOGIN,0.0,1.0,0.0,-1.0859987458586398,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
959039,135,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 58.11), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and transaction amount covers 26.7x monthly average balance.","DAYS_AMOUNT_COMBINED (+2.1378), NEW_DEVICE_FLAG (+1.7809), BALANCE_COVERAGE_RATIO (+1.2333)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.5301), TRANS_HOUR × NEW_DEVICE_FLAG (+0.2258), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.1949)","TRANS_AMOUNT: 15,000,000.00 -> 5,883,278.85 (-9,116,721.15)",Transfer,Within_bank,2019-11-06,Wed,12,1,15000000.0,198496,015cf9bef94ff708,Android,252.92.xx.xx (HN),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,561351.0333333333,10230000.0,10,32.666666666666664,1,2470.0,LOGIN_FINGER,0.4571427265306495,35.0,0.0,-1.3626830247620028,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
970991,143,1,1.0,"Flagged due to: transaction amount covers 318.2x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and transaction amount is 5.9x higher than historical average.","BALANCE_COVERAGE_RATIO (+3.2241), NEW_DEVICE_FLAG (+1.7500), TRANS_AMOUNT_Z_SCORE (+1.2701)","NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (+0.3520), NEW_DEVICE_FLAG × BALANCE_COVERAGE_RATIO (+0.3501), BALANCE_COVERAGE_RATIO × VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2614)","TRANS_AMOUNT: 33,000,000.00 -> 5,556,658.74 (-27,443,341.26)",Transfer,Outside_bank,2019-09-11,Wed,12,1,33000000.0,789505,a76aa9fbb10444f9,iOS,5.117.xx.xx (HP),F,2019-09-10,1982-12-24,0,2019-09-10,BRANCH,1,SMART_OTP,Working,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,103723.49,5556666.666666667,6,1.5,1,17.0,LOGIN,0.0,3.0,0.0,-1.5102239753915914,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1262697,226,1,0.8514108061790466,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 58.94), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and unusual behavior in feature 'HIST_BIOMETRIC_RATIO' (value: 0.45).","DAYS_AMOUNT_COMBINED (+2.1212), NEW_DEVICE_FLAG (+1.6741), HIST_BIOMETRIC_RATIO (+0.4198)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.6589), TRANS_HOUR × NEW_DEVICE_FLAG (+0.2258), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.2009)","TRANS_AMOUNT: 50,000,000.00 -> 32,655,811.31 (-17,344,188.69)",Transfer,Outside_bank,2019-11-24,Sun,19,1,50000000.0,315965,58f090af951ca5bb,iOS,169.116.xx.xx (HCM),F,2019-10-29,1986-04-10,0,2019-10-29,BRANCH,1,SMART_OTP,Working,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,22270202.773333333,40000000.0,5,26.791666666666668,1,628.0,LOGIN_FACEID,0.45454504132268975,11.0,0.0,-1.269749901092123,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
